STO_110_Output_001: x,0.2141, y,0.2248, z,0.75, x,0.2041, y,0.2398, z,0.25 
STO_110_Output_002: x,0.2141, y,0.2248, z,0.75, x,0.2041, y,0.2498, z,0.25 
STO_110_Output_003: x,0.2141, y,0.2248, z,0.75, x,0.2041, y,0.2598, z,0.25 
STO_110_Output_004: x,0.2141, y,0.2248, z,0.75, x,0.2041, y,0.2698, z,0.25 
STO_110_Output_005: x,0.2141, y,0.2248, z,0.75, x,0.2041, y,0.2798, z,0.25 
STO_110_Output_006: x,0.2141, y,0.2248, z,0.75, x,0.2041, y,0.2898, z,0.25 
STO_110_Output_007: x,0.2141, y,0.2248, z,0.75, x,0.2141, y,0.2398, z,0.25 
STO_110_Output_008: x,0.2141, y,0.2248, z,0.75, x,0.2141, y,0.2498, z,0.25 
STO_110_Output_009: x,0.2141, y,0.2248, z,0.75, x,0.2141, y,0.2598, z,0.25 
STO_110_Output_010: x,0.2141, y,0.2248, z,0.75, x,0.2141, y,0.2698, z,0.25 
STO_110_Output_011: x,0.2141, y,0.2248, z,0.75, x,0.2141, y,0.2798, z,0.25 
STO_110_Output_012: x,0.2141, y,0.2248, z,0.75, x,0.2141, y,0.2898, z,0.25 
STO_110_Output_013: x,0.2141, y,0.2248, z,0.75, x,0.2241, y,0.2398, z,0.25 
STO_110_Output_014: x,0.2141, y,0.2248, z,0.75, x,0.2241, y,0.2498, z,0.25 
STO_110_Output_015: x,0.2141, y,0.2248, z,0.75, x,0.2241, y,0.2598, z,0.25 
STO_110_Output_016: x,0.2141, y,0.2248, z,0.75, x,0.2241, y,0.2698, z,0.25 
STO_110_Output_017: x,0.2141, y,0.2248, z,0.75, x,0.2241, y,0.2798, z,0.25 
STO_110_Output_018: x,0.2141, y,0.2248, z,0.75, x,0.2241, y,0.2898, z,0.25 
STO_110_Output_019: x,0.2141, y,0.2248, z,0.75, x,0.2341, y,0.2398, z,0.25 
STO_110_Output_020: x,0.2141, y,0.2248, z,0.75, x,0.2341, y,0.2498, z,0.25 
STO_110_Output_021: x,0.2141, y,0.2248, z,0.75, x,0.2341, y,0.2598, z,0.25 
STO_110_Output_022: x,0.2141, y,0.2248, z,0.75, x,0.2341, y,0.2698, z,0.25 
STO_110_Output_023: x,0.2141, y,0.2248, z,0.75, x,0.2341, y,0.2798, z,0.25 
STO_110_Output_024: x,0.2141, y,0.2248, z,0.75, x,0.2341, y,0.2898, z,0.25 
STO_110_Output_025: x,0.2141, y,0.2248, z,0.75, x,0.2441, y,0.2398, z,0.25 
STO_110_Output_026: x,0.2141, y,0.2248, z,0.75, x,0.2441, y,0.2498, z,0.25 
STO_110_Output_027: x,0.2141, y,0.2248, z,0.75, x,0.2441, y,0.2598, z,0.25 
STO_110_Output_028: x,0.2141, y,0.2248, z,0.75, x,0.2441, y,0.2698, z,0.25 
STO_110_Output_029: x,0.2141, y,0.2248, z,0.75, x,0.2441, y,0.2798, z,0.25 
STO_110_Output_030: x,0.2141, y,0.2248, z,0.75, x,0.2441, y,0.2898, z,0.25 
STO_110_Output_031: x,0.2141, y,0.2348, z,0.75, x,0.2041, y,0.2398, z,0.25 
STO_110_Output_032: x,0.2141, y,0.2348, z,0.75, x,0.2041, y,0.2498, z,0.25 
STO_110_Output_033: x,0.2141, y,0.2348, z,0.75, x,0.2041, y,0.2598, z,0.25 
STO_110_Output_034: x,0.2141, y,0.2348, z,0.75, x,0.2041, y,0.2698, z,0.25 
STO_110_Output_035: x,0.2141, y,0.2348, z,0.75, x,0.2041, y,0.2798, z,0.25 
STO_110_Output_036: x,0.2141, y,0.2348, z,0.75, x,0.2041, y,0.2898, z,0.25 
STO_110_Output_037: x,0.2141, y,0.2348, z,0.75, x,0.2141, y,0.2398, z,0.25 
STO_110_Output_038: x,0.2141, y,0.2348, z,0.75, x,0.2141, y,0.2498, z,0.25 
STO_110_Output_039: x,0.2141, y,0.2348, z,0.75, x,0.2141, y,0.2598, z,0.25 
STO_110_Output_040: x,0.2141, y,0.2348, z,0.75, x,0.2141, y,0.2698, z,0.25 
